geneID,geneName,clstr_ID,length,contigID,BLI20_MG_001,BLI20_MG_002,BLI20_MG_003,BLI20_MG_004,BLI20_MG_005,BLI21_MG_101,BLI21_MG_102,BLI21_MG_103,BLI21_MG_104,BLI21_MG_105,BLI21_MG_106,BLI21_MG_107,BLI21_MG_108,BLI21_MG_109,BLI21_MG_110,BLI21_MG_111,BLI21_MG_112,BLI20_MT_001,BLI20_MT_002,BLI20_MT_003,BLI20_MT_004,BLI20_MT_005,BLI20_MT_006,BLI20_MT_007,BLI20_MT_008,BLI20_MT_009,BLI20_MT_010,BLI20_MT_011,BLI20_MT_012,BLI21_MT_001,BLI21_MT_002,BLI21_MT_003,BLI21_MT_004,BLI21_MT_005,BLI21_MT_006,BLI21_MT_007,BLI21_MT_008,BLI21_MT_009,BLI21_MT_010,BLI21_MT_011,BLI21_MT_012
BLI21_coassembly_000000111173_1,narG,narG-000,1094,BLI21_coassembly_000000111173,0.0905396558600621,0.0299761282385071,0.0829736816845389,0.0136060764683841,0.184960955709653,0.173925350717449,1.07800702368201,0.866927605730374,0.270635628840372,0.770961207348425,0.886470679142257,0.14033068212929,0.75233017414966,0.0737881136951316,0.780998476493746,0.66207315729805,0.300911568867723,0.0525941932187666,0.118303163814861,0.0323212198121626,0.0485243080759653,0.0555524634622206,0.0517422916278829,2.01362317121685,1.29235751897997,0.651829098187912,0.0747552862493222,0.0731067900259155,0.0198527570753215,0,0.0312315232484164,NA,0,0.0393489706714483,0.0730458348035624,0,0.0174662706442316,0.0333197556406327,0,0,0
BLI21_coassembly_000000112660_1,narG,narG-000,1032,BLI21_coassembly_000000112660,0.0500790615883628,0.0149455722725069,0.0713444233622054,0.0106502165584091,0.135127471883702,0.10453954683075,0.902220186539863,0.703686970020228,0.205606037512109,0.768803898477954,0.814565188863929,0.0896745448603969,0.562153416802924,0.0497017096594365,0.719475451156917,0.540625388972495,0.26128571904175,0.0499262975651431,0.0522996463995718,0.00801156210842933,0.126806802391374,0,0,1.08159955318921,1.29934835154598,0.132380726253472,0,0,0.0225533790070504,0.0205692961390496,0,NA,0.098792691668536,0.0262394218034098,0,0.00923011790725795,0,0.00986529475933076,0.0089364865911561,0.0683209927501469,0.0335851218469732
BLI21_assembly105_000000020189_1,narG,narG-000,1110,BLI21_assembly105_000000020189,0.140385730896941,0.0466231124592597,0.136301896617259,0.025635810952186,0.312999013129909,0.255658134378675,1.85361281228556,1.47793577061858,0.439556212010251,1.43674485093354,1.53947007299428,0.199984279926736,1.23040273812167,0.120734200841802,1.36077703687134,1.09024500523821,0.547911333545634,0.172701888083444,0.227229157806761,0.051553761782062,0.215272402027755,0.109318366419184,0.0792470145094594,4.65478953983166,3.84480445597568,1.3820203245234,0.0828392838320698,0.13195444818559,0.0454683092121566,0.0332353485859785,0.0768595652969136,NA,0.143311153781555,0.0774824455817911,0.0885167046015754,0.0281608212277282,0.0172019547984324,0.0553580617119647,0.0330373518910177,0.0631220647058111,0.0466280102115289
BLI21_assembly104_000000004445_9,narG,narG-000,1181,BLI21_assembly104_000000004445,0.117697780366883,0.0447012111624545,0.137034369160921,0.0187754423304745,0.291629791718511,0.29648841137027,1.8774201177687,1.39452517983351,0.4049712196062,1.53744626377174,1.54412758944754,0.198862034830015,1.20445439979281,0.143459938110883,1.35902328010997,1.08478019131108,0.565122515152614,0.20321480815303,0.230575406077009,0.063282729716767,0.247828735710134,0.1040590052243,0.126396445136517,4.68501629966485,3.4627742755508,1.36537017450554,0.102888039966874,0.125956474327644,0.0611883917217806,0.0398067864627242,0.071648735389087,NA,0.145359672177821,0.0855035456615418,0.0924954379929534,0.0262767170926435,0.0321201901801262,0.0577855235403237,0.0384340837221333,0.0587773244900404,0.0596387359939185
BLI21_assembly106_000000021784_2,narG,narG-000,1289,BLI21_assembly106_000000021784,0.113994986686793,0.0454216462848992,0.105795103903022,0.0202413821999755,0.235468285421487,0.232681379478485,1.52492731145298,1.2574084346287,0.35211750725677,1.23139183181632,1.36335435017688,0.157329122783997,0.999736079488439,0.0755865000304627,1.1673352512172,0.867679255953159,0.37456142534595,0.111188912759381,0.126704274645521,0.0420203153869821,0.14688472066569,0.0581417646403804,0.0703447741996228,2.37634775636913,1.66963332727252,0.867351635981791,0.0781831966291344,0.112196387478958,0.051550157630147,0.0241967519301531,0.0130704587830784,NA,0.0941412406472741,0.0493294356463941,0.0798949110393829,0,0.0219175546909264,0.0384996600202956,0.0140336189127109,0.0459834828801848,0.0416944342551556
BLI20_assembly002_000000003509_5,narG,narG-001,1273,BLI20_assembly002_000000003509,0.187213988826711,0.41897199063061,0.0518676219029157,0.0990316519618362,0.449324714477098,0.0163356913943592,0.103810249337757,0.0726052819614719,0.0235452591309101,0.0447551987695423,0.0506444328750547,0.0319735905850135,0.0406842821708668,0.00734253121506012,0.038551929571897,0.0553100925253473,0.0581336810146808,0.0792865153179433,0.104422549728249,0.033684715567284,0.043682544903364,0.0235473018856776,0.00975665760719827,0.240371974603576,0.277563749021327,0.421961103171151,0.0316502030143916,0.0103256215896441,0.0217415169629171,0,0.0396701077075261,NA,0.0437592757307833,0.0208358355585283,0.0142807928492887,0.00604899838288542,0.0295573955689756,0.00838325051300326,0.00710439054530371,0,0.0100177659842819
BLI20_coassembly_000000016918_1,narG,narG-001,909,BLI20_coassembly_000000016918,0.181339137916289,0.415941600148345,0.0406673642238016,0.0871200005590124,0.417762480913354,0.0162638632188548,0.0886764449051624,0.0784447262560925,0.0246018926638407,0.04546024434313,0.0609497680278561,0.0237076627956814,0.04114923724781,0.006676135941162,0.03787711053027,0.0587753072865443,0.0606366919046102,0.0147625105108593,0.0197570592664945,0.0107180245200458,0.0158216382077967,0,0,0,0.0948635870237079,0.0905478897671951,0.022958168083553,0,0.00628599204939668,0,0,NA,0.0243942302002685,0.0121015736895947,0.0138106681982943,0.00877468618035049,0,0,0,0,0
BLI21_coassembly_000000046607_3,narG,narG-002,1264,BLI21_coassembly_000000046607,0.100183623206425,0.0818257133015409,0.00463044007341022,0.0185745566862662,0.417744264068337,0.131752855695633,0.0348655209541028,0.0463877325637313,0.484483438357665,0.0393151955458496,0.0248376071845085,0.384862559450577,0.0231116453056218,0.0576374769005278,0.0232497094774424,0.0259585200673637,0.0360891784883797,0.099328945680442,0.0657225943967994,0.0196632842637784,0.0879298518307018,0.142274624893944,0.0196481762732117,0.916696688524257,1.02489299528872,1.20213051600901,0.0239222237069439,0,0.0350357111121049,0.00823787909701413,0.0333518096588668,NA,0.0790807400930587,0.0671235101730296,0.0479524922356439,0.0122042911679571,0.0149177482881259,0.0113051734827342,0.0143127620027469,0,0.0202029044847159
BLI20_assembly005_000000025631_1,narG,narG-002,1078,BLI20_assembly005_000000025631,0.10929183665927,0.0790443004946709,0.00862489800553061,0.0238094645437471,0.46134350233229,0.161319285186063,0.062690419549503,0.06195300284039,0.489252516332156,0.0570454869952987,0.0381829964654272,0.395073951903304,0.0242993737115396,0.0737622453762765,0.0287767270250913,0.0266434831353605,0.0235278133419569,0.13459608814172,0.0625020915354415,0.0276476651680713,0.091505891050206,0.154998420843089,0.0232979517635633,1.02764744949974,1.1808267923792,1.31664361198188,0.0284972755722346,0.0123717150831226,0.0572311709152561,0.00489059324823498,0.0396223707177579,NA,0.0872474738259238,0.0797707014370755,0.0626342963760678,0.00726640077868974,0.0177493413226364,0.0134406290591147,0.0169878876247084,0.00928104028178462,0.0359833138135799
BLI21_assembly104_000000022857_1,narG,narG-002,941,BLI21_assembly104_000000022857,0.121613098581643,0.0792104215366303,0.0236471562559661,0.0165678762493355,0.413196341869737,0.142954057502927,0.0478870991608489,0.0575036922611243,0.495632199208441,0.0565451816942475,0.0291194310143428,0.454256958491041,0.0262423699906571,0.0650421490157445,0.0290816459869466,0.0196067906985038,0.034417434086689,0.155654742752402,0.108526361161785,0.0616776172209221,0.0454977848078889,0.195915290213689,0.0472646569384607,0.968007447032979,1.09438044264673,1.30570734944058,0.0440952227911192,0.028716065725892,0.0724777188021299,0.0227121952081491,0.0459610382395364,NA,0.116666598438387,0.0868144974599962,0.0725971192583943,0,0.0206265696099217,0.0195178116990745,0.00987142132161133,0.0323252767848832,0.034831801262973
